,09:00 - 10:00,10:00 - 10:50,11:10 - 12:00,12:00 - 12:50,Lunch Break,01:30 - 02:20,02:20 - 03:10,03:10 - 04:00
Monday,"OS (year3, AIML)",Free (),"OS (year3, AIML)",Free (),Lunch Break,"OS (year3, DS)",Free (),Free ()
Tuesday,"OS (year3, AIML)",Free (),Free (),"OS (year3, DS)",Lunch Break,Free (),Free (),Free ()
Wednesday,Free (),Free (),Free (),Free (),Lunch Break,Free (),Free (),Free ()
Thursday,Free (),Free (),Free (),Free (),Lunch Break,"OS LAB (year3, DS)","OS LAB (year3, DS)","OS LAB (year3, DS)"
Friday,Free (),"OS LAB (year3, AIML)","OS LAB (year3, AIML)","OS LAB (year3, AIML)",Lunch Break,"OS (year3, AIML)","OS (year3, DS)",Free ()
Saturday,Free (),Free (),"OS (year3, AIML)","OS (year3, DS)",Lunch Break,"OS (year3, DS)",Free (),Free ()
