,09:00 - 10:00,10:00 - 10:50,11:10 - 12:00,12:00 - 12:50,Lunch Break,01:30 - 02:20,02:20 - 03:10,03:10 - 04:00
Monday,Free (),Free (),Free (),Free (),Lunch Break,"ML LAB (year3, AIML)","ML LAB (year3, AIML)","ML LAB (year3, AIML)"
Tuesday,"ML (year3, DS)",Free (),"ML (year3, DS)",Free (),Lunch Break,"ML LAB (year3, DS)","ML LAB (year3, DS)","ML LAB (year3, DS)"
Wednesday,Free (),Free (),Free (),Free (),Lunch Break,"ML (year3, AIML)","ML (year3, DS)","ML (year3, AIML)"
Thursday,Free (),Free (),Free (),Free (),Lunch Break,"ML LAB (year3, DS)","ML LAB (year3, DS)","ML LAB (year3, DS)"
Friday,"ML (year3, AIML)","ML LAB (year3, AIML)","ML LAB (year3, AIML)","ML LAB (year3, AIML)",Lunch Break,"ML (year3, DS)","ML (year3, AIML)","ML (year3, DS)"
Saturday,Free (),"ML (year3, AIML)",Free (),Free (),Lunch Break,Free (),Free (),Free ()
